Id,SalePrice_pred
1461,119559.54071403969
1462,147800.43706084543
1463,169161.81996340767
1464,182140.98264580272
1465,194200.94140533204
1466,170408.67243936562
1467,178644.3164330846
1468,159370.30009661466
1469,206868.5415391533
1470,116291.48965894146
1471,182701.23238258832
1472,99659.21524711726
1473,91423.18180608634
1474,142903.47977064876
1475,109262.66600740014
1476,358916.92378441256
1477,252108.01744123333
1478,320770.65038516215
1479,303141.10962149914
1480,444881.03568949876
1481,311515.08108467737
1482,213385.1482775582
1483,176142.9548458261
1484,161687.56531637645
1485,199725.87910966433
1486,200296.21830487612
1487,322214.72927170596
1488,232735.20877214515
1489,189744.2169957404
1490,248380.13130201944
1491,199612.77112512864
1492,95939.59359919104
1493,210979.17422888448
1494,300757.4942944489
1495,285005.7582591304
1496,235473.67960737628
1497,171912.44903433247
1498,153525.27971828828
1499,155894.93666191486
1500,146227.0213671256
1501,188529.11493124845
1502,145448.1095667238
1503,269196.4653118274
1504,239323.23436917923
1505,221105.16381178
1506,182800.35453792862
1507,245597.48796134116
1508,188956.3640841198
1509,160758.4890417988
1510,139725.84596949298
1511,144130.7599854024
1512,179067.1124350846
1513,160776.2412397317
1514,148789.1344361002
1515,194777.39403655165
1516,163488.0008186594
1517,166933.45472400117
1518,123537.88924274669
1519,212540.99007373131
1520,122797.29951514152
1521,121340.66330415642
1522,193109.63092252327
1523,96951.39387899714
1524,120624.95064352782
1525,113074.05155882708
1526,93971.17971414299
1527,95435.25739597848
1528,144835.04814628186
1529,150630.73151326893
1530,214595.95891591662
1531,123188.39286971846
1532,105542.16290712476
1533,153694.95408477148
1534,121865.71847151546
1535,153665.31450112825
1536,101905.46337224242
1537,34332.422833949764
1538,161500.43122071322
1539,207278.4011697508
1540,131774.95331180043
1541,131419.0972917947
1542,146900.05507695794
1543,176591.15613528984
1544,91385.51711923412
1545,127690.4000219571
1546,142597.70405939993
1547,139327.59167907186
1548,143019.69553197906
1549,119573.40209076254
1550,139446.30591610353
1551,118042.69406884458
1552,150668.40909749496
1553,156824.311287483
1554,124062.46317194257
1555,156489.2448209349
1556,83452.43869413939
1557,94067.73169029423
1558,96449.02117186841
1559,88759.76965314145
1560,138210.40187853924
1561,113983.96228390426
1562,127630.83788535855
1563,119414.61430581682
1564,142543.07769901535
1565,147846.48905197918
1566,246384.60450384178
1567,76633.86913152695
1568,229646.68924488116
1569,111113.50161311662
1570,147361.12604129323
1571,103869.63036379624
1572,144600.31534060917
1573,242778.63670226932
1574,122639.04440919719
1575,246982.1482591976
1576,233142.04286980757
1577,178508.88031563512
1578,137001.85603180618
1579,140690.83438716363
1580,191308.91246873868
1581,160074.3092663048
1582,134011.47685890002
1583,271022.7997370369
1584,228872.25915393792
1585,146869.33168609982
1586,43279.15765158707
1587,113424.23320745936
1588,166881.44966328866
1589,104125.4015592564
1590,131326.03229401496
1591,90562.56838928361
1592,118355.28841251739
1593,136384.6966592872
1594,134814.26780078135
1595,115420.89408144451
1596,222558.48314268579
1597,190026.4210442559
1598,215195.05997195703
1599,205627.40833368045
1600,176245.53947620047
