,PassengerId,Survived_pred,Probability
0,892,0,0.12375210901396591
1,893,1,0.6226021258162323
2,894,0,0.15083714274113544
3,895,0,0.12505447675684253
4,896,0,0.4855368891943238
5,897,0,0.12505447675684253
6,898,1,0.7271060147406532
7,899,0,0.12822949859307203
8,900,1,0.8441385838918192
9,901,0,0.13354444978828778
10,902,0,0.12356816780922969
11,903,0,0.14113272162164206
12,904,1,0.9227490634348081
13,905,0,0.19820238413181493
14,906,1,0.9166116756201916
15,907,1,0.9069238822966814
16,908,0,0.1289306270003957
17,909,0,0.18434213572929864
18,910,0,0.4575406460531149
19,911,1,0.7887731804494974
20,912,0,0.3515944731161336
21,913,0,0.46003621817568585
22,914,1,0.9317193809793631
23,915,0,0.37446497364603354
24,916,1,0.942887472480492
25,917,0,0.09465212758379114
26,918,1,0.9271376921118107
27,919,0,0.18434213572929864
28,920,0,0.3465303803783578
29,921,0,0.16038467945315313
30,922,0,0.12655990308078216
31,923,0,0.17181768594335525
32,924,1,0.5665763515804118
33,925,0,0.21628043416136147
34,926,0,0.4762606822242471
35,927,0,0.18434213572929864
36,928,0,0.46152443050557834
37,929,0,0.44469152537761425
38,930,0,0.12505447675684253
39,931,0,0.3754185403226774
40,932,0,0.12634701086008196
41,933,0,0.2865441866489948
42,934,0,0.11794518822724956
43,935,1,0.9056003531381094
44,936,1,0.946177823870738
45,937,0,0.12505447675684253
46,938,0,0.2939472569923734
47,939,0,0.14101630570173027
48,940,1,0.946772302136011
49,941,1,0.5705110422281087
50,942,0,0.29482880359589164
51,943,0,0.15159925055821685
52,944,1,0.9009893890772084
53,945,1,0.8883463636233947
54,946,0,0.1625564730958554
55,947,0,0.11353583712344319
56,948,0,0.11794518822724956
57,949,0,0.12505447675684253
58,950,0,0.13197245516661193
59,951,1,0.9461176307270249
60,952,0,0.12505447675684253
61,953,0,0.15971206357105233
62,954,0,0.12505447675684253
63,955,1,0.713420109492516
64,956,0,0.27271592716698856
65,957,1,0.9198656607970375
66,958,1,0.5967772960958703
67,959,0,0.16612999851648452
68,960,0,0.3277459438999892
69,961,1,0.848574596844696
70,962,1,0.5967772960958703
71,963,0,0.12505447675684253
72,964,0,0.46152443050557834
73,965,0,0.2862219379672629
74,966,1,0.9461176307270249
75,967,0,0.3351225901071229
76,968,0,0.12356816780922969
77,969,1,0.9419556190069421
78,970,0,0.12419343440248153
79,971,1,0.5967772960958703
80,972,1,0.8765765653056352
81,973,0,0.1993763740028869
82,974,0,0.16066183639741347
83,975,0,0.12356816780922969
84,976,0,0.1417155854987968
85,977,0,0.11490260624451427
86,978,1,0.61301198697494
87,979,0,0.44469152537761425
88,980,1,0.61301198697494
89,981,1,0.9150692938394434
90,982,1,0.6691571532511386
91,983,0,0.12356816780922969
92,984,1,0.9186654663626008
93,985,0,0.12356816780922969
94,986,0,0.23180022172199743
95,987,0,0.12505447675684253
96,988,1,0.9451663021945583
97,989,0,0.12356816780922969
98,990,0,0.44469152537761425
99,991,0,0.11794518822724956
100,992,1,0.9612817015400755
101,993,0,0.13354444978828778
102,994,0,0.14101630570173027
103,995,0,0.12505447675684253
104,996,1,0.6144546510678447
105,997,0,0.1338208348078641
106,998,0,0.142678319447071
107,999,0,0.14101630570173027
108,1000,0,0.12356816780922969
109,1001,0,0.12568618567153794
110,1002,0,0.11154566499169409
111,1003,1,0.61301198697494
112,1004,1,0.9438923872424481
113,1005,1,0.7843724228068125
114,1006,1,0.949675044468243
115,1007,0,0.1420934860367435
116,1008,0,0.09211026805381421
117,1009,1,0.7699588255291869
118,1010,0,0.412736622487436
119,1011,1,0.9186752938918299
120,1012,1,0.9024111288657399
121,1013,0,0.13908449843394288
122,1014,1,0.9394818875895112
123,1015,0,0.12356816780922969
124,1016,0,0.14101630570173027
125,1017,1,0.5343543146342948
126,1018,0,0.12505447675684253
127,1019,1,0.6907712688835758
128,1020,0,0.12291479639945188
129,1021,0,0.12505447675684253
130,1022,0,0.15894042678157907
131,1023,0,0.2700036524052958
132,1024,0,0.08603147892195338
133,1025,0,0.0907776303599379
134,1026,0,0.11794518822724956
135,1027,0,0.12505447675684253
136,1028,0,0.18434213572929864
137,1029,0,0.12568618567153794
138,1030,0,0.44469152537761425
139,1031,0,0.05543296270680351
140,1032,0,0.11500789099504811
141,1033,1,0.9390374271400216
142,1034,0,0.26089400171973687
143,1035,0,0.1338208348078641
